tipos,jogos,cidade,preco
Venda,7 Wonders,SP - Sao Paulo,"R$ 460,00"
Venda,Five Tribes,SP - Sao Paulo,"R$ 258,00"
Leilão,Crown of Emara,SC - Florianopolis,"R$ 217,00"
Leilão,Last Will,SC - Florianopolis,"R$ 153,00"
Venda,O Senhor dos Anéis: Jornadas na Terra Média,MG - Juiz de Fora,"R$ 463,16"
Leilão,World of Warcraft Miniatures Game,ES - Cariacica,"R$ 750,00"
Leilão,Star Wars: Imperial Assault,ES - Cariacica,"R$ 5.000,00"
Leilão,Great Western Trail,ES - Cariacica,"R$ 280,00"
Venda,Clãs da Caledônia,SP - Sao Paulo,"R$ 284,21"
Venda,Detective: A Modern Crime Boardgame,SP - Sao Paulo,"R$ 331,58"
Venda,O Senhor dos Anéis: Jornadas na Terra Média,RJ - Rio de Janeiro,"R$ 421,05"
Venda,Terraforming Mars: Hellas & Elysium,MG - Belo Horizonte,"R$ 136,84"
Venda,Dungeon Fighter,MG - Sete Lagoas,"R$ 294,74"
Venda,Luxor,SP - Sao Paulo,"R$ 252,63"
Leilão,Mafia,SP - Limeira,"R$ 50,00"
Leilão,Warzoo,SP - Limeira,"R$ 60,00"
Leilão,The Haunting House,SP - Limeira,"R$ 80,00"
Venda,Robinson Crusoe: Aventuras na Ilha Amaldiçoada ,CE - Caucaia,"R$ 294,74"
Venda,Agricola (Edição Revisada),CE - Caucaia,"R$ 210,53"
Leilão,Flash Point: Ao Resgate,SP - Sao Paulo,"R$ 110,00"
Leilão,Taverna,SP - Sao Paulo,"R$ 75,00"
Leilão,Charterstone,SP - Sao Paulo,"R$ 260,00"
Leilão,Power Grid: The Card Game,SP - Sao Paulo,"R$ 120,00"
Leilão,Heróis e Monstros,SP - Sao Paulo,"R$ 120,00"
Leilão,Shadowrun: Crossfire,SP - Sao Paulo,"R$ 195,00"
Leilão,Francis Drake: Spain's Revenge Expansion,SP - Sao Paulo,"R$ 40,00"
Leilão,Auztralia,SP - Sao Paulo,"R$ 320,00"
Leilão,Cartas a Vapor,SP - Sao Paulo,"R$ 110,00"
Leilão,Francis Drake: Montezuma's Legacy Expansion,SP - Sao Paulo,"R$ 40,00"
Venda,Lobisomem por uma noite: Monstros,SP - Sao Paulo,"R$ 24,00"
Venda,O Vale dos Monstros,SP - Sao Paulo,"R$ 149,00"
Venda,Clãs da Caledônia,SP - Indaiatuba,"R$ 296,84"
Venda,Flash Point: Ao Resgate,SP - Sao Paulo,"R$ 199,00"
Venda,Carcassonne,SP - Sao Caetano do Sul,"R$ 134,74"
Venda,Great Western Trail,SP - Sao Paulo,"R$ 321,05"
Venda,Star Realms: Crisis – Heroes,SP - Jacarei,"R$ 12,63"
Venda,Star Realms: Crisis – Fleets & Fortresses,SP - Jacarei,"R$ 12,63"
Venda,Orange Stories,SP - Jacarei,"R$ 30,00"
Venda,Black Stories: Shit Happens Edition,SP - Jacarei,"R$ 30,00"
Venda,Black Stories: Funny Death Edition,SP - Jacarei,"R$ 30,00"
Venda,Black Stories 3,SP - Jacarei,"R$ 30,00"
Venda,Black Stories 2,SP - Jacarei,"R$ 30,00"
Venda,Black Stories,SP - Jacarei,"R$ 30,00"
Venda,Green Stories,SP - Jacarei,"R$ 30,00"
