jogo,idade,tempo_jogo,n_jogadores,designers,editoras,tenho,quero,tive,favoritos,joguei,link
Projeto Gaia, 12 + ,150 min,1 a 4 jogadores ,"['Jens Drögemüller', 'Helge Ostertag', 'Dennis Lohausen']","['Mandala Jogos', 'Z-Man Games', '+6']",677,677,26,151,741,https://www.ludopedia.com.br/jogo/gaia-project
Great Western Trail, 12 + ,150 min,2 a 4 jogadores ,"['Alexander Pfister', 'Andreas Resch']","['Conclave Editora', 'Stronghold Games', '+2']",1308,1308,93,265,1382,https://www.ludopedia.com.br/jogo/great-western-trail
7 Wonders Duel, 10 + ,30 min,2 jogadores ,"['Antoine Bauza', 'Bruno Cathala', 'Miguel Coimbra']","['Galápagos Jogos', 'Repos Production', '+2']",2140,2140,133,296,1741,https://www.ludopedia.com.br/jogo/7-wonders-duel
Star Wars: Rebellion, 14 + ,240 min,2 a 4 jogadores ,"['Corey Konieczka', 'Matt Allsopp', 'David Ardila', '+46']","['Galápagos Jogos', 'Fantasy Flight Games', '+3']",662,662,43,132,406,https://www.ludopedia.com.br/jogo/star-wars-rebellion
Twilight Imperium (Fourth Edition), 14 + ,480 min,3 a 6 jogadores ,"['Christian T. Petersen', 'Dane Beltrami', '+1', 'Scott Schomburg']","['Galápagos Jogos', 'Asmodee', '+3']",376,376,4,85,287,https://www.ludopedia.com.br/jogo/twilight-imperium-fourth-edition
Terra Mystica, 14 + ,100 min,2 a 5 jogadores ,"['Jens Drögemüller', 'Helge Ostertag', 'Dennis Lohausen']","['Mandala Jogos', 'FunBox Jogos', '+7']",2144,2144,253,725,2542,https://www.ludopedia.com.br/jogo/terra-mystica
Puerto Rico, 12 + ,90 min,2 a 5 jogadores ,"['Andreas Seyfarth', 'Franz Vohwinkel']","['Grow Jogos e Brinquedos', 'Devir', '+14']",3609,3609,302,684,3179,https://www.ludopedia.com.br/jogo/puerto-rico
Terraforming Mars, 12 + ,180 min,1 a 5 jogadores ,"['Jacob Fryxelius', 'Isaac Fryxelius']","['Meeple BR Jogos', 'Reflexshop', '+12']",1742,1742,126,444,2027,https://www.ludopedia.com.br/jogo/terraforming-mars
Clãs da Caledônia, 12 + ,120 min,1 a 4 jogadores ,"['Juma Al-JouJou', 'Klemens Franz']","['Meeple BR Jogos', 'Karma Games', '+2']",738,738,67,117,873,https://www.ludopedia.com.br/jogo/clans-of-caledonia
Mansions of Madness: Second Edition, 14 + ,180 min,1 a 5 jogadores ,"['Nikki Valens', 'Cristi Balanescu', 'Yoann Boissonnet', '+4']","['Galápagos Jogos', 'Fantasy Flight Games', '+4']",1423,1423,123,301,1210,https://www.ludopedia.com.br/jogo/mansions-of-madness-second-edition
