ranks,jogos,anos,links,scores,scores_medios,n_scores
1º,Projeto Gaia, (2017),https://www.ludopedia.com.br/jogo/gaia-project,9.04,9.23,448
2º,Terra Mystica, (2012),https://www.ludopedia.com.br/jogo/terra-mystica,9.03,9.08,1618
3º,Great Western Trail, (2016),https://www.ludopedia.com.br/jogo/great-western-trail,8.91,9.01,855
4º,Puerto Rico, (2002),https://www.ludopedia.com.br/jogo/puerto-rico,8.89,8.92,2140
5º,Terraforming Mars, (2016),https://www.ludopedia.com.br/jogo/terraforming-mars,8.87,8.94,1131
6º,7 Wonders Duel, (2015),https://www.ludopedia.com.br/jogo/7-wonders-duel,8.85,8.92,1232
7º,Star Wars: Rebellion, (2016),https://www.ludopedia.com.br/jogo/star-wars-rebellion,8.84,9.10,315
8º,Twilight Imperium (Fourth Edition), (2017),https://www.ludopedia.com.br/jogo/twilight-imperium-fourth-edition,8.82,9.29,170
9º,Clãs da Caledônia, (2017),https://www.ludopedia.com.br/jogo/clans-of-caledonia,8.81,8.99,462
10º,Twilight Struggle, (2005),https://www.ludopedia.com.br/jogo/twilight-struggle,8.79,8.92,657
11º,The Castles of Burgundy, (2011),https://www.ludopedia.com.br/jogo/the-castles-of-burgundy,8.77,8.87,877
12º,Mansions of Madness: Second Edition, (2016),https://www.ludopedia.com.br/jogo/mansions-of-madness-second-edition,8.76,8.87,752
13º,Through The Ages: Uma Nova História da Civilização, (2015),https://www.ludopedia.com.br/jogo/through-the-ages-a-new-story-of-civilization,8.75,8.94,430
14º,As Viagens de Marco Polo, (2015),https://www.ludopedia.com.br/jogo/the-voyages-of-marco-polo,8.72,8.81,894
15º,Lisboa, (2017),https://www.ludopedia.com.br/jogo/lisboa,8.71,8.96,315
16º,Pandemic Legacy: 1ª Temporada, (2015),https://www.ludopedia.com.br/jogo/pandemic-legacy-season-1,8.71,8.87,497
17º,Scythe, (2016),https://www.ludopedia.com.br/jogo/scythe,8.69,8.78,840
18º,Mage Knight Board Game, (2011),https://www.ludopedia.com.br/jogo/mage-knight-board-game,8.66,8.82,478
19º,Five Tribes, (2014),https://www.ludopedia.com.br/jogo/five-tribes,8.65,8.74,886
20º,Caverna: The Cave Farmers, (2013),https://www.ludopedia.com.br/jogo/caverna-the-cave-farmers,8.65,8.79,544
21º,Um Banquete a Odin, (2016),https://www.ludopedia.com.br/jogo/a-feast-for-odin,8.64,8.89,305
22º,Trajan, (2011),https://www.ludopedia.com.br/jogo/trajan,8.61,8.75,524
23º,Agricola (Edição Revisada), (2016),https://www.ludopedia.com.br/jogo/agricola-revised-edition,8.59,8.77,412
24º,Agricola, (2007),https://www.ludopedia.com.br/jogo/agricola,8.59,8.66,1090
25º,Guerra do Anel (Segunda Edição), (2012),https://www.ludopedia.com.br/jogo/war-of-the-ring-second-edition,8.58,8.78,373
26º,Mombasa, (2015),https://www.ludopedia.com.br/jogo/mombasa,8.58,8.73,480
27º,Gloomhaven, (2017),https://www.ludopedia.com.br/jogo/gloomhaven,8.57,9.08,144
28º,Tzolk'in: O Calendário Maia, (2012),https://www.ludopedia.com.br/jogo/tzolk-in-the-mayan-calendar,8.56,8.68,599
29º,Azul, (2017),https://www.ludopedia.com.br/jogo/azul,8.55,8.63,1029
30º,7 Wonders, (2010),https://www.ludopedia.com.br/jogo/7-wonders,8.54,8.58,2256
31º,Lords of Waterdeep, (2012),https://www.ludopedia.com.br/jogo/lords-of-waterdeep,8.54,8.62,942
32º,Power Grid, (2004),https://www.ludopedia.com.br/jogo/power-grid,8.54,8.60,1118
33º,Viticulture Edição Essencial, (2015),https://www.ludopedia.com.br/jogo/viticulture-essential-edition,8.53,8.65,643
34º,Eldritch Horror, (2013),https://www.ludopedia.com.br/jogo/eldritch-horror,8.53,8.57,1835
35º,Concordia, (2013),https://www.ludopedia.com.br/jogo/concordia,8.53,8.74,339
36º,Clank!: Um Deck Building de Aventura, (2016),https://www.ludopedia.com.br/jogo/clank-a-deck-building-adventure,8.52,8.72,357
37º,Robinson Crusoe: Aventuras na Ilha Amaldiçoada , (2012),https://www.ludopedia.com.br/jogo/robinson-crusoe-adventure-on-the-cursed-island,8.52,8.60,877
38º,Ticket to Ride: Europa, (2005),https://www.ludopedia.com.br/jogo/ticket-to-ride-europe,8.51,8.57,1199
39º,Tikal, (1999),https://www.ludopedia.com.br/jogo/tikal,8.50,8.64,516
40º,Stone Age, (2008),https://www.ludopedia.com.br/jogo/stone-age,8.49,8.54,1426
41º,Orléans, (2014),https://www.ludopedia.com.br/jogo/orleans,8.48,8.61,541
42º,Alquimistas, (2014),https://www.ludopedia.com.br/jogo/alchemists,8.45,8.54,758
43º,Sword & Sorcery: Espíritos Imortais, (2017),https://www.ludopedia.com.br/jogo/sword-sorcery-immortal-souls,8.45,8.90,156
44º,Rising Sun, (2018),https://www.ludopedia.com.br/jogo/rising-sun,8.44,8.66,327
45º,Russian Railroads, (2013),https://www.ludopedia.com.br/jogo/russian-railroads,8.44,8.63,356
46º,Arcadia Quest, (2014),https://www.ludopedia.com.br/jogo/arcadia-quest,8.41,8.50,792
47º,Dixit Odyssey, (2011),https://www.ludopedia.com.br/jogo/dixit-odyssey,8.41,8.50,771
48º,The Gallerist, (2015),https://www.ludopedia.com.br/jogo/the-gallerist,8.40,8.54,488
49º,Eclipse, (2011),https://www.ludopedia.com.br/jogo/eclipse,8.40,8.57,396
50º,Wingspan, (2019),https://www.ludopedia.com.br/jogo/wingspan,8.39,8.75,192
51º,Ticket to Ride: 10th Anniversary, (2014),https://www.ludopedia.com.br/jogo/ticket-to-ride-10th-anniversary,8.39,8.71,211
52º,Village, (2011),https://www.ludopedia.com.br/jogo/village,8.38,8.48,718
53º,Descent: Journeys in the Dark (second edition), (2012),https://www.ludopedia.com.br/jogo/descent-journeys-in-the-dark-second-edition,8.38,8.52,491
54º,Cyclades, (2009),https://www.ludopedia.com.br/jogo/cyclades,8.37,8.44,1007
55º,Dominion (Segunda Edição), (2016),https://www.ludopedia.com.br/jogo/dominion-second-edition,8.36,8.65,235
56º,Istanbul, (2014),https://www.ludopedia.com.br/jogo/istanbul,8.36,8.43,911
57º,Dominant Species, (2010),https://www.ludopedia.com.br/jogo/dominant-species,8.36,8.61,267
58º,A Guerra dos Tronos: Board Game, (2011),https://www.ludopedia.com.br/jogo/a-game-of-thrones-the-board-game-second-edition,8.36,8.40,1651
59º,Le Havre, (2008),https://www.ludopedia.com.br/jogo/le-havre,8.35,8.49,484
60º,Battlestar Galactica: The Board Game, (2008),https://www.ludopedia.com.br/jogo/battlestar-galactica-the-board-game,8.35,8.49,473
61º,Star Wars: Imperial Assault, (2015),https://www.ludopedia.com.br/jogo/star-wars-imperial-assault,8.34,8.65,223
62º,Invasores do Mar do Norte, (2015),https://www.ludopedia.com.br/jogo/raiders-of-the-north-sea,8.34,8.49,432
63º,Ticket To Ride, (2004),https://www.ludopedia.com.br/jogo/ticket-to-ride,8.33,8.38,1388
64º,Dixit, (2008),https://www.ludopedia.com.br/jogo/dixit,8.33,8.36,1939
65º,Arcadia Quest: Inferno, (2016),https://www.ludopedia.com.br/jogo/arcadia-quest-inferno,8.33,8.84,131
66º,La Granja, (2014),https://www.ludopedia.com.br/jogo/la-granja,8.32,8.69,182
67º,Keyflower, (2012),https://www.ludopedia.com.br/jogo/keyflower,8.32,8.46,463
68º,Troyes, (2010),https://www.ludopedia.com.br/jogo/troyes,8.31,8.56,257
69º,Anachrony, (2017),https://www.ludopedia.com.br/jogo/anachrony,8.31,8.85,121
70º,Spartacus: Um Jogo de Sangue e Traições, (2012),https://www.ludopedia.com.br/jogo/spartacus-a-game-of-blood-treachery,8.30,8.43,522
71º,Xadrez, (1475),https://www.ludopedia.com.br/jogo/xadrez,8.30,8.39,699
72º,Grand Austria Hotel, (2015),https://www.ludopedia.com.br/jogo/grand-austria-hotel,8.29,8.53,278
73º,Pandemic, (2008),https://www.ludopedia.com.br/jogo/pandemic,8.29,8.33,1609
74º,Sagrada, (2017),https://www.ludopedia.com.br/jogo/sagrada,8.28,8.41,508
75º,Zombicide: Black Plague, (2015),https://www.ludopedia.com.br/jogo/zombicide-black-plague,8.27,8.36,799
